#Derived from "CCLE_sample_info_file_2012-10-18.txt"
#subjectId	cellLineSourceName	gender	cellLinePrimarySite	cellLineHistology
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HuNS1	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HUPT3_PANCREAS	HUP-T3	M	pancreas	carcinoma
HUPT4_PANCREAS	HUP-T4	M	pancreas	carcinoma
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HuT 102	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HuT 78	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HUTU80_SMALL_INTESTINE	HuTu 80		small_intestine	carcinoma
IALM_LUNG	IA-LM	M	lung	carcinoma
IGR1_SKIN	IGR-1	M	skin	malignant_melanoma
IGR37_SKIN	IGR-37	M	skin	malignant_melanoma
IGR39_SKIN	IGR-39	M	skin	malignant_melanoma
IGROV1_OVARY	IGROV1	F	ovary	carcinoma
IM95_STOMACH	IM95	M	stomach	carcinoma
IMR32_AUTONOMIC_GANGLIA	IMR-32	M	autonomic_ganglia	neuroblastoma
IOMMLEE_CENTRAL_NERVOUS_SYSTEM	IOMM-Lee		central_nervous_system	meningioma
IPC298_SKIN	IPC-298	F	skin	malignant_melanoma
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	Ishikawa (Heraklio) 02 ER-	F	endometrium	carcinoma
ISTMES1_PLEURA	IST-MES1	F	pleura	mesothelioma
ISTMES2_PLEURA	IST-MES2	M	pleura	mesothelioma
J82_URINARY_TRACT	J82	M	urinary_tract	carcinoma
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JeKo-1	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
JHESOAD1_OESOPHAGUS	JH-EsoAd1		oesophagus	carcinoma
JHH1_LIVER	JHH-1	M	liver	carcinoma
JHH2_LIVER	JHH-2	M	liver	carcinoma
JHH4_LIVER	JHH-4	M	liver	carcinoma
JHH5_LIVER	JHH-5	M	liver	carcinoma
JHH6_LIVER	JHH-6	F	liver	carcinoma
JHH7_LIVER	JHH-7	M	liver	carcinoma
JHOC5_OVARY	JHOC-5		ovary	carcinoma
JHOM1_OVARY	JHOM-1		ovary	carcinoma
JHOM2B_OVARY	JHOM-2B		ovary	carcinoma
JHOS2_OVARY	JHOS-2	F	ovary	carcinoma
JHOS4_OVARY	JHOS-4	F	ovary	carcinoma
JHUEM1_ENDOMETRIUM	JHUEM-1	F	endometrium	carcinoma
JHUEM2_ENDOMETRIUM	JHUEM-2	F	endometrium	carcinoma
JHUEM3_ENDOMETRIUM	JHUEM-3		endometrium	carcinoma
JHUEM7_ENDOMETRIUM	JHUEM-7	F	endometrium	carcinoma
JIMT1_BREAST	JIMT-1	F	breast	carcinoma
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JJN-3	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JK-1	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
JL1_PLEURA	JL-1	M	pleura	mesothelioma
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JM1		haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
JMSU1_URINARY_TRACT	JMSU-1	M	urinary_tract	carcinoma
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JURKAT	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JURL-MK1	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JVM-2	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JVM-3	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
K029AX_SKIN	K029AX		skin	malignant_melanoma
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	K-562	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
KALS1_CENTRAL_NERVOUS_SYSTEM	KALS-1	F	central_nervous_system	glioma
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS-299	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS-422		haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS-620	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI-1	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI-2	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Kasumi-6	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
KATOIII_STOMACH	KATO III	M	stomach	carcinoma
KCIMOH1_PANCREAS	KCI-MOH1	F	pancreas	carcinoma
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KCL-22	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE-37	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KE39_STOMACH	KE-39	M	stomach	carcinoma
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE-97	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KELLY_AUTONOMIC_GANGLIA	KELLY		autonomic_ganglia	neuroblastoma
KG1C_CENTRAL_NERVOUS_SYSTEM	KG-1-C	M	central_nervous_system	glioma
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG-1	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KHM-1B	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Ki-JK	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KLE_ENDOMETRIUM	KLE	F	endometrium	carcinoma
KLM1_PANCREAS	KLM-1		pancreas	carcinoma
KM12_LARGE_INTESTINE	KM12		large_intestine	carcinoma
KMBC2_URINARY_TRACT	KMBC-2		urinary_tract	carcinoma
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KM-H2	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMM-1	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KMRC1_KIDNEY	KMRC-1	M	kidney	carcinoma
KMRC20_KIDNEY	KMRC-20		kidney	carcinoma
KMRC2_KIDNEY	KMRC-2	M	kidney	carcinoma
KMRC3_KIDNEY	KMRC-3		kidney	carcinoma
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-11	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-12-BM	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-18	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-20	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-21BM	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-26	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-27	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-28BM	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-34	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KNS42_CENTRAL_NERVOUS_SYSTEM	KNS-42	M	central_nervous_system	glioma
KNS60_CENTRAL_NERVOUS_SYSTEM	KNS-60	M	central_nervous_system	glioma
KNS62_LUNG	KNS-62	M	lung	carcinoma
KNS81_CENTRAL_NERVOUS_SYSTEM	KNS-81	M	central_nervous_system	glioma
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KOPN-8	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KP1NL_PANCREAS	KP-1NL		pancreas	carcinoma
KP1N_PANCREAS	KP-1N		pancreas	carcinoma
KP2_PANCREAS	KP-2	F	pancreas	carcinoma
KP3_PANCREAS	KP-3		pancreas	carcinoma
KP4_PANCREAS	KP4	M	pancreas	carcinoma
KPL1_BREAST	KPL-1	F	breast	carcinoma
KPNRTBM1_AUTONOMIC_GANGLIA	KP-N-RT-BM-1		autonomic_ganglia	neuroblastoma
KPNSI9S_AUTONOMIC_GANGLIA	KP-N-SI9s	M	autonomic_ganglia	neuroblastoma
KPNYN_AUTONOMIC_GANGLIA	KP-N-YN		autonomic_ganglia	neuroblastoma
KS1_CENTRAL_NERVOUS_SYSTEM	KS-1	F	central_nervous_system	glioma
KU1919_URINARY_TRACT	KU-19-19	M	urinary_tract	carcinoma
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KU812	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
KURAMOCHI_OVARY	KURAMOCHI	F	ovary	carcinoma
KYM1_SOFT_TISSUE	KYM-1		soft_tissue	rhabdomyosarcoma
KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KYO-1	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
KYSE140_OESOPHAGUS	KYSE-140	M	oesophagus	carcinoma
KYSE150_OESOPHAGUS	KYSE-150	F	oesophagus	carcinoma
KYSE180_OESOPHAGUS	KYSE-180	M	oesophagus	carcinoma
KYSE270_OESOPHAGUS	KYSE-270	M	oesophagus	carcinoma
KYSE30_OESOPHAGUS	KYSE-30	M	oesophagus	carcinoma
KYSE410_OESOPHAGUS	KYSE-410	M	oesophagus	carcinoma
KYSE450_OESOPHAGUS	KYSE-450	M	oesophagus	carcinoma
KYSE510_OESOPHAGUS	KYSE-510	F	oesophagus	carcinoma
KYSE520_OESOPHAGUS	KYSE-520	F	oesophagus	carcinoma
KYSE70_OESOPHAGUS	KYSE-70	M	oesophagus	carcinoma
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-1236	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
L33_PANCREAS	L3.3		pancreas	carcinoma
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-363	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-428	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-540	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LAMA-84	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
LC1F_LUNG	LC-1F	M	lung	carcinoma
LC1SQSF_LUNG	LC-1/sq-SF	M	lung	carcinoma
LCLC103H_LUNG	LCLC-103H	M	lung	carcinoma
LCLC97TM1_LUNG	LCLC-97TM1	M	lung	carcinoma
LI7_LIVER	Li-7		liver	carcinoma
LK2_LUNG	LK-2	M	lung	carcinoma
LMSU_STOMACH	LMSU		stomach	carcinoma
LN18_CENTRAL_NERVOUS_SYSTEM	LN-18	M	central_nervous_system	glioma
LN215_CENTRAL_NERVOUS_SYSTEM	LN-215		central_nervous_system	glioma
LN229_CENTRAL_NERVOUS_SYSTEM	LN-229	F	central_nervous_system	glioma
LN235_CENTRAL_NERVOUS_SYSTEM	LN-235		central_nervous_system	glioma
LN319_CENTRAL_NERVOUS_SYSTEM	LN-319		central_nervous_system	glioma
LN340_CENTRAL_NERVOUS_SYSTEM	LN-340		central_nervous_system	glioma
LN382_CENTRAL_NERVOUS_SYSTEM	LN382		central_nervous_system	glioma
LN428_CENTRAL_NERVOUS_SYSTEM	LN-428		central_nervous_system	glioma
LN443_CENTRAL_NERVOUS_SYSTEM	LN-443		central_nervous_system	glioma
LN464_CENTRAL_NERVOUS_SYSTEM	LN-464		central_nervous_system	glioma
LNCAPCLONEFGC_PROSTATE	LNCaP clone FGC	M	prostate	carcinoma
LNZ308_CENTRAL_NERVOUS_SYSTEM	LNZ308		central_nervous_system	glioma
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Loucy	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
LOUNH91_LUNG	LOU-NH91	F	lung	carcinoma
LOVO_LARGE_INTESTINE	LoVo	M	large_intestine	carcinoma
LOXIMVI_SKIN	LOX IMVI		skin	malignant_melanoma
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LP-1	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
LS1034_LARGE_INTESTINE	LS1034	M	large_intestine	carcinoma
LS123_LARGE_INTESTINE	LS123	F	large_intestine	carcinoma
LS180_LARGE_INTESTINE	LS 180	F	large_intestine	carcinoma
LS411N_LARGE_INTESTINE	LS411N	M	large_intestine	carcinoma
LS513_LARGE_INTESTINE	LS513	M	large_intestine	carcinoma
LU65_LUNG	LU65	M	lung	carcinoma
LU99_LUNG	LU99	M	lung	carcinoma
LUDLU1_LUNG	LUDLU-1	M	lung	carcinoma
LXF289_LUNG	LXF-289	M	lung	carcinoma
M059K_CENTRAL_NERVOUS_SYSTEM	M059K	M	central_nervous_system	glioma
M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	M-07e	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
MALME3M_SKIN	Malme-3M	M	skin	malignant_melanoma
MB157_BREAST	MB 157	F	breast	carcinoma
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MC116	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MCAS_OVARY	MCAS	F	ovary	carcinoma
MCF7_BREAST	MCF7	F	breast	carcinoma
MDAMB134VI_BREAST	MDA-MB-134-VI	F	breast	carcinoma
MDAMB157_BREAST	MDA-MB-157	F	breast	carcinoma
MDAMB175VII_BREAST	MDA-MB-175-VII	F	breast	carcinoma
MDAMB231_BREAST	MDA-MB-231	F	breast	carcinoma
MDAMB361_BREAST	MDA-MB-361	F	breast	carcinoma
MDAMB415_BREAST	MDA-MB-415	F	breast	carcinoma
MDAMB435S_SKIN	MDA-MB-435S	F	skin	malignant_melanoma
MDAMB436_BREAST	MDA-MB-436	F	breast	carcinoma
MDAMB453_BREAST	MDA-MB-453	F	breast	carcinoma
MDAMB468_BREAST	MDA-MB-468	F	breast	carcinoma
MDAPCA2B_PROSTATE	MDA PCa 2b	M	prostate	carcinoma
MDST8_LARGE_INTESTINE	MDST8		large_intestine	carcinoma
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ME-1	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEC-1	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEC-2	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEG-01	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
MELHO_SKIN	MEL-HO	F	skin	malignant_melanoma
MELJUSO_SKIN	MEL-JUSO	F	skin	malignant_melanoma
MESSA_SOFT_TISSUE	MES-SA	F	soft_tissue	sarcoma
MEWO_SKIN	MeWo	M	skin	malignant_melanoma
MFE280_ENDOMETRIUM	MFE-280	F	endometrium	carcinoma
MFE296_ENDOMETRIUM	MFE-296	F	endometrium	carcinoma
MFE319_ENDOMETRIUM	MFE-319	F	endometrium	carcinoma
MG63_BONE	MG-63	M	bone	osteosarcoma
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHH-CALL-2	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHH-CALL-3	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHH-CALL-4	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MHHES1_BONE	MHH-ES-1	M	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
MHHNB11_AUTONOMIC_GANGLIA	MHH-NB-11	M	autonomic_ganglia	neuroblastoma
MIAPACA2_PANCREAS	MIA PaCa-2	M	pancreas	carcinoma
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Mino	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MJ	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MKN1_STOMACH	MKN1	M	stomach	carcinoma
MKN45_STOMACH	MKN-45	F	stomach	carcinoma
MKN74_STOMACH	MKN74	M	stomach	carcinoma
MKN7_STOMACH	MKN7	M	stomach	carcinoma
ML1_THYROID	ML-1	F	thyroid	carcinoma
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MM1-S		haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	MOG-G-CCM		central_nervous_system	glioma
MOGGUVW_CENTRAL_NERVOUS_SYSTEM	MOG-G-UVW		central_nervous_system	glioma
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM-13	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM-16	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM-6	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLP-2	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLP-8	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT-13	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT-16	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT-4	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONO-MAC-1	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONO-MAC-6	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
MORCPR_LUNG	MOR/CPR		lung	carcinoma
MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOTN-1	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MPP89_PLEURA	MPP 89	M	pleura	mesothelioma
MSTO211H_PLEURA	MSTO-211H	M	pleura	mesothelioma
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ-3	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ-5	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV-4-11	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM-19	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM-1	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM-6	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NAMALWA	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NB1_AUTONOMIC_GANGLIA	NB-1	M	autonomic_ganglia	neuroblastoma
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB-4	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
NCCSTCK140_STOMACH	NCC-StC-K140		stomach	carcinoma
NCIH1048_LUNG	NCI-H1048	F	lung	carcinoma
NCIH1092_LUNG	NCI-H1092	M	lung	carcinoma
NCIH1105_LUNG	NCI-H1105	M	lung	carcinoma
NCIH1155_LUNG	NCI-H1155	M	lung	carcinoma
NCIH1184_LUNG	NCI-H1184	M	lung	carcinoma
NCIH1299_LUNG	NCI-H1299	M	lung	carcinoma
NCIH1339_LUNG	NCI-H1339	F	lung	carcinoma
NCIH1341_LUNG	NCI-H1341	F	lung	carcinoma
NCIH1355_LUNG	NCI-H1355	M	lung	carcinoma
NCIH1373_LUNG	NCI-H1373	M	lung	carcinoma
NCIH1385_LUNG	NCI-H1385	F	lung	carcinoma
NCIH1395_LUNG	NCI-H1395	F	lung	carcinoma
NCIH1435_LUNG	NCI-H1435	F	lung	carcinoma
NCIH1436_LUNG	NCI-H1436	M	lung	carcinoma
NCIH1437_LUNG	NCI-H1437	M	lung	carcinoma
NCIH146_LUNG	NCI-H146	M	lung	carcinoma
NCIH1563_LUNG	NCI-H1563	M	lung	carcinoma
NCIH1568_LUNG	NCI-H1568	F	lung	carcinoma
NCIH1573_LUNG	NCI-H1573	F	lung	carcinoma
NCIH1581_LUNG	NCI-H1581	M	lung	carcinoma
NCIH1618_LUNG	NCI-H1618	F	lung	carcinoma
NCIH1623_LUNG	NCI-H1623	M	lung	carcinoma
NCIH1648_LUNG	NCI-H1648	M	lung	carcinoma
NCIH1650_LUNG	NCI-H1650	M	lung	carcinoma
NCIH1651_LUNG	NCI-H1651	M	lung	carcinoma
NCIH1666_LUNG	NCI-H1666	F	lung	carcinoma
NCIH1693_LUNG	NCI-H1693	F	lung	carcinoma
NCIH1694_LUNG	NCI-H1694	M	lung	carcinoma
NCIH1703_LUNG	NCI-H1703	M	lung	carcinoma
NCIH1734_LUNG	NCI-H1734	F	lung	carcinoma
NCIH1755_LUNG	NCI-H1755	F	lung	carcinoma
NCIH1781_LUNG	NCI-H1781	F	lung	carcinoma
NCIH1792_LUNG	NCI-H1792	M	lung	carcinoma
NCIH1793_LUNG	NCI-H1793	F	lung	carcinoma
NCIH1836_LUNG	NCI-H1836	M	lung	carcinoma
NCIH1838_LUNG	NCI-H1838	F	lung	carcinoma
NCIH1869_LUNG	NCI-H1869	M	lung	carcinoma
NCIH1876_LUNG	NCI-H1876	M	lung	carcinoma
NCIH1915_LUNG	NCI-H1915	F	lung	carcinoma
NCIH1930_LUNG	NCI-H1930	M	lung	carcinoma
NCIH1944_LUNG	NCI-H1944	F	lung	carcinoma
NCIH1963_LUNG	NCI-H1963	M	lung	carcinoma
NCIH196_LUNG	NCI-H196	M	lung	carcinoma
NCIH1975_LUNG	NCI-H1975	F	lung	carcinoma
NCIH2009_LUNG	NCI-H2009	F	lung	carcinoma
NCIH2023_LUNG	NCI-H2023	M	lung	carcinoma
NCIH2029_LUNG	NCI-H2029	F	lung	carcinoma
NCIH2030_LUNG	NCI-H2030	M	lung	carcinoma
NCIH2052_PLEURA	NCI-H2052	M	pleura	mesothelioma
NCIH2066_LUNG	NCI-H2066	F	lung	carcinoma
NCIH2073_LUNG	NCI-H2073	F	lung	carcinoma
NCIH2081_LUNG	NCI-H2081	F	lung	carcinoma
NCIH2085_LUNG	NCI-H2085	M	lung	carcinoma
NCIH2087_LUNG	NCI-H2087	M	lung	carcinoma
NCIH209_LUNG	NCI-H209	M	lung	carcinoma
NCIH2106_LUNG	NCI-H2106	M	lung	carcinoma
NCIH2110_LUNG	NCI-H2110		lung	carcinoma
NCIH211_LUNG	NCI-H211	F	lung	carcinoma
NCIH2122_LUNG	NCI-H2122	F	lung	carcinoma
NCIH2126_LUNG	NCI-H2126	M	lung	carcinoma
NCIH2141_LUNG	NCI-H2141	M	lung	carcinoma
NCIH2170_LUNG	NCI-H2170	M	lung	carcinoma
NCIH2171_LUNG	NCI-H2171	M	lung	carcinoma
NCIH2172_LUNG	NCI-H2172	F	lung	carcinoma
NCIH2196_LUNG	NCI-H2196	M	lung	carcinoma
NCIH2227_LUNG	NCI-H2227	M	lung	carcinoma
NCIH2228_LUNG	NCI-H2228	F	lung	carcinoma
NCIH226_LUNG	NCI-H226	M	lung	carcinoma
NCIH2286_LUNG	NCI-H2286	F	lung	carcinoma
NCIH2291_LUNG	NCI-H2291	M	lung	carcinoma
NCIH2342_LUNG	NCI-H2342	M	lung	carcinoma
NCIH2347_LUNG	NCI-H2347	F	lung	carcinoma
NCIH23_LUNG	NCI-H23	M	lung	carcinoma
NCIH2405_LUNG	NCI-H2405	M	lung	carcinoma
NCIH2444_LUNG	NCI-H2444	M	lung	carcinoma
NCIH2452_PLEURA	NCI-H2452	M	pleura	mesothelioma
NCIH28_PLEURA	NCI-H28	M	pleura	mesothelioma
NCIH292_LUNG	NCI-H292	F	lung	carcinoma
NCIH322_LUNG	NCI-H322	M	lung	carcinoma
NCIH3255_LUNG	NCI-H3255	F	lung	carcinoma
NCIH358_LUNG	NCI-H358	M	lung	carcinoma
NCIH441_LUNG	NCI-H441	M	lung	carcinoma
NCIH446_LUNG	NCI-H446	M	lung	carcinoma
NCIH460_LUNG	NCI-H460	M	lung	carcinoma
NCIH508_LARGE_INTESTINE	NCI-H508	M	large_intestine	carcinoma
NCIH510_LUNG	NCI-H510	M	lung	carcinoma
NCIH520_LUNG	NCI-H520	M	lung	carcinoma
NCIH522_LUNG	NCI-H522	M	lung	carcinoma
NCIH524_LUNG	NCI-H524	M	lung	carcinoma
NCIH526_LUNG	NCI-H526	M	lung	carcinoma
NCIH596_LUNG	NCI-H596	M	lung	carcinoma
NCIH647_LUNG	NCI-H647	M	lung	carcinoma
NCIH650_LUNG	NCI-H650	M	lung	carcinoma
NCIH660_PROSTATE	NCI-H660	M	prostate	carcinoma
NCIH661_LUNG	NCI-H661	M	lung	carcinoma
NCIH684_LIVER	NCI-H684		liver	other
